label,n,median_sale,median_rmv,median_ratio,mean_ratio,median_pct_diff,std_pct_diff,correlation,r_squared,slope,intercept,p_value
ALL CITIES,2513,675000.0,661030.0,1.0272931237107472,1.0575049775156675,2.729312371074713,43.31757613892785,0.8673123874006652,0.7522307773386415,0.9333345499700035,83347.26011012145,0.0
PORTLAND,1232,760000.0,725670.0,1.0371224488005308,1.0556863810702688,3.712244880053087,33.64465556675981,0.8413938262219279,0.7079435708043759,0.9623441005369774,74271.48679369141,0.0
LAKE OSWEGO,566,930000.0,894257.5,1.0321759453624575,1.119707321227337,3.2175945362457465,71.09646558678213,0.8847498443540658,0.7827822870845437,0.913777842308409,146335.4920625816,3.832936229344182e-189
GRESHAM,469,490000.0,488120.0,1.021509841375301,1.0030990626471181,2.1509841375301058,16.506605247321698,0.7188128193739157,0.5166918692962776,0.6512272360100899,179940.6312588029,9.460172688270432e-76
TROUTDALE,143,474900.0,478370.0,1.0047488127968007,0.9847427501194422,0.47488127968008,15.923244993327621,0.7969506801735528,0.6351303866290884,0.9141852990405185,32244.045812001335,1.1326842021532212e-32
FAIRVIEW,68,460050.0,488550.0,0.9878169503526595,0.9837318175638254,-1.2183049647340574,17.213475669359795,0.17030218059739013,0.029002832716226085,0.0785127574698631,462297.75653226563,0.16499161865872525
WOOD VILLAGE,15,414900.0,422700.0,1.0325245224574084,0.9553988001715029,3.252452245740836,21.42215171899062,0.8049985546116991,0.6480226729269247,0.8444220878484274,49053.69216018729,0.00029412310088612387
HAPPY VALLEY,11,1038000.0,1257493.0,0.9817889203289999,1.2911710649856527,-1.8211079671000125,86.67983357188868,0.7911893966491332,0.6259806613700195,0.6066441223809024,438728.95515142323,0.0037251570414295835
