Address,City,SalePrice,RMV,SaleToRMV,LandPct,RMVLAND,RMVIMPR,YearBuilt,SqFt
128 DEL PRADO ST,LAKE OSWEGO,900000.0,897508.0,1.002776576921877,43.48685471327275,390298.0,507210.0,1974.0,3038.0
2157 WEMBLEY PL,LAKE OSWEGO,969000.0,897416.0,1.0797667971152731,53.100903037164485,476536.0,420880.0,1977.0,3728.0
6 FALSTAFF ST,LAKE OSWEGO,850000.0,897358.0,0.9472250762794782,43.49412386137974,390298.0,507060.0,1970.0,3178.0
226 S CLARA MAE WAY,PORTLAND,875000.0,896930.0,0.9755499314327762,36.84791455297515,330500.0,566430.0,1998.0,3356.0
648 SE 46TH AVE,PORTLAND,885000.0,896630.0,0.987029209372874,33.41400577718792,299600.0,597030.0,2016.0,2443.0
3259 NE HOYT ST,PORTLAND,1010000.0,896030.0,1.1271944019731481,43.525328393022555,390000.0,506030.0,1926.0,2636.0
4242 COBB WAY,LAKE OSWEGO,1250000.0,895967.0,1.3951406692433985,41.72441618943555,373837.0,522130.0,1968.0,2314.0
4053 NE 31ST AVE,PORTLAND,939675.0,895190.0,1.0496933611858934,41.611278052703895,372500.0,522690.0,1923.0,2511.0
8031 SE ORIENT DR,GRESHAM,832912.0,894450.0,0.9312001788808765,65.5598412432221,586400.0,308050.0,1953.0,4836.0
11 TOUCHSTONE,LAKE OSWEGO,890000.0,892548.0,0.9971452515719043,43.72851656157428,390298.0,502250.0,1972.0,2464.0
2580 DELLWOOD DR,LAKE OSWEGO,1465000.0,892499.0,1.6414584218021533,41.39489231920708,369449.0,523050.0,1960.0,2878.0
535 NE LADDINGTON CT,PORTLAND,1395000.0,891510.0,1.5647609112629135,43.74600397079113,390000.0,501510.0,1925.0,1975.0
728 NE ROYAL CT,PORTLAND,905000.0,891430.0,1.0152227320148526,44.14255746385022,393500.0,497930.0,1938.0,2609.0
18395 WOOD THRUSH ST,LAKE OSWEGO,935000.0,891163.0,1.0491907765470514,40.85930407792963,364123.0,527040.0,1977.0,2480.0
2517 NE 21ST AVE,PORTLAND,852000.0,890630.0,0.9566262084142686,41.453802364618305,369200.0,521430.0,1913.0,2120.0
15633 NW SAINT ANDREWS DR,PORTLAND,930000.0,890130.0,1.0447912102726569,60.12267870985137,535170.0,354960.0,1991.0,2156.0
13836 NW STONEBRIDGE DR,PORTLAND,725000.0,889310.0,0.8152387806276776,45.27667517513578,402650.0,486660.0,2003.0,2935.0
3075 SW 66TH CT,PORTLAND,862500.0,889110.0,0.9700711947902959,59.3526110380043,527710.0,361400.0,1982.0,2255.0
17766 TREE TOP LN,LAKE OSWEGO,1050000.0,888059.0,1.1823538751366744,41.601853030035166,369449.0,518610.0,1973.0,2761.0
13070 PRINCETON CT,LAKE OSWEGO,910000.0,887933.0,1.0248521003273896,41.846963678565835,371573.0,516360.0,1989.0,3520.0
244 NW SEBLAR DR,PORTLAND,1392500.0,887720.0,1.5686252421934845,50.12841887081512,445000.0,442720.0,1982.0,2563.0
2335 SW GARDEN VIEW AVE,PORTLAND,845000.0,887160.0,0.952477568871455,69.93101582578115,620400.0,266760.0,1965.0,2046.0
3744 NE 24TH AVE,PORTLAND,1260000.0,886550.0,1.421239636794315,42.29879871411652,375000.0,511550.0,1927.0,2493.0
15858 NW CLAREMONT DR,PORTLAND,978000.0,885970.0,1.1038748490355204,60.40497985259095,535170.0,350800.0,1992.0,2088.0
3263 TEMPEST DR,LAKE OSWEGO,837500.0,885968.0,0.9452937352139129,44.05328409152475,390298.0,495670.0,1986.0,2667.0
2077 SW NANCY DR,GRESHAM,884000.0,885660.0,0.9981256915746449,37.824898945419235,335000.0,550660.0,1999.0,3502.0
2924 SE MORRISON ST,PORTLAND,803000.0,885380.0,0.9069552056743997,39.305157107682575,348000.0,537380.0,1923.0,2806.0
16909 CRESTVIEW DR,LAKE OSWEGO,1100000.0,884681.0,1.2433860340619953,36.00066012494899,318491.0,566190.0,1976.0,2553.0
1224 NE SUMNER ST,PORTLAND,969000.0,884520.0,1.0955094288427623,36.4604531271198,322500.0,562020.0,1916.0,2861.0
17640 TREE TOP WAY,LAKE OSWEGO,879000.0,884459.0,0.9938278653956826,41.77118441894989,369449.0,515010.0,1969.0,2692.0
3133 NE 43RD AVE,PORTLAND,1050000.0,884400.0,1.187245590230665,41.27091813658978,365000.0,519400.0,1926.0,2627.0
4333 NE 32ND AVE,PORTLAND,925000.0,883300.0,1.0472093286539115,36.79384127702932,325000.0,558300.0,1922.0,3429.0
5376 ROSEWOOD ST,LAKE OSWEGO,720000.0,883097.0,0.8153124741676169,41.40281305451157,365627.0,517470.0,2004.0,2483.0
13043 ROGERS RD,LAKE OSWEGO,925000.0,883080.0,1.0474702178738053,43.04932735426009,380160.0,502920.0,1990.0,2213.0
7034 SE 32ND AVE,PORTLAND,1295000.0,882820.0,1.4668901927912825,42.50016991006094,375200.0,507620.0,1927.0,3162.0
2922 NE 32ND AVE,PORTLAND,1010000.0,882170.0,1.1449040434383395,45.90951857351758,405000.0,477170.0,1928.0,2680.0
2265 NE 33RD AVE,PORTLAND,529950.0,881890.0,0.6009252854664414,42.987220628423046,379100.0,502790.0,1927.0,2674.0
51 TOUCHSTONE,LAKE OSWEGO,1080000.0,881128.0,1.2257016006754977,44.295266975967166,390298.0,490830.0,1971.0,2978.0
10933 NW SKYLINE BLVD,PORTLAND,1224101.0,881010.0,1.389429177875393,51.40123267613308,452850.0,428160.0,2004.0,1847.0
4652 NW SKYCREST PKWY,PORTLAND,890000.0,880080.0,1.0112717025724933,53.557631124443226,471350.0,408730.0,2000.0,2337.0
2380 NW NORTHRUP ST,PORTLAND,800000.0,878390.0,0.910757180751147,48.90766060633659,429600.0,448790.0,1900.0,2473.0
